episode,score,avg_100,best_score,epsilon,avg_loss,buffer_size,elapsed_s
347,0,0.15,3,0.840681,0.140331,5643,62.1
348,0,0.15,3,0.84026,0.122804,5741,63.4
349,0,0.14,3,0.83984,0.122423,5745,63.4
350,0,0.14,3,0.83942,0.13123,5749,63.5
351,0,0.14,3,0.839001,0.075487,5765,63.7
352,0,0.14,3,0.838581,0.126358,5782,63.9
353,0,0.14,3,0.838162,0.11511,5792,64.0
354,0,0.14,3,0.837743,0.169505,5797,64.1
355,0,0.14,3,0.837324,0.11396,5810,64.3
356,0,0.13,3,0.836905,0.124366,5848,64.7
357,1,0.14,3,0.836487,0.139333,5855,64.8
358,0,0.14,3,0.836068,0.139513,5870,65.0
359,0,0.14,3,0.83565,0.108402,5874,65.1
360,0,0.14,3,0.835233,0.090551,5879,65.1
361,0,0.14,3,0.834815,0.104968,5911,65.6
362,0,0.14,3,0.834398,0.093155,5924,65.7
363,0,0.13,3,0.83398,0.070219,5935,65.9
364,0,0.13,3,0.833563,0.130726,5974,66.4
365,0,0.13,3,0.833147,0.134716,5984,66.5
366,0,0.13,3,0.83273,0.10601,5999,66.7
367,3,0.16,3,0.832314,0.180687,6058,67.5
368,0,0.16,3,0.831898,0.13698,6104,68.1
369,0,0.16,3,0.831482,0.132159,6150,68.7
370,0,0.16,3,0.831066,0.14699,6179,69.0
371,0,0.16,3,0.83065,0.104913,6186,69.1
372,0,0.16,3,0.830235,0.12526,6217,69.5
373,1,0.17,3,0.82982,0.108383,6244,69.9
374,0,0.16,3,0.829405,0.130065,6255,70.0
375,0,0.16,3,0.82899,0.129706,6280,70.4
376,0,0.16,3,0.828576,0.128806,6290,70.5
377,0,0.16,3,0.828161,0.127876,6307,70.7
378,1,0.17,3,0.827747,0.136603,6316,70.8
379,1,0.18,3,0.827334,0.134537,6323,70.9
380,0,0.17,3,0.82692,0.110393,6329,71.0
381,1,0.18,3,0.826506,0.1302,6351,71.3
382,0,0.18,3,0.826093,0.144805,6377,71.6
383,0,0.18,3,0.82568,0.117222,6380,71.7
384,0,0.18,3,0.825267,0.123281,6396,71.9
385,0,0.18,3,0.824855,0.140784,6409,72.1
386,0,0.18,3,0.824442,0.12886,6416,72.2
387,0,0.18,3,0.82403,0.11114,6429,72.3
388,0,0.18,3,0.823618,0.121513,6471,72.9
389,0,0.18,3,0.823206,0.153241,6483,73.0
390,0,0.18,3,0.822795,0.138998,6501,73.3
391,1,0.19,3,0.822383,0.119537,6523,73.6
392,2,0.21,3,0.821972,0.137697,6569,74.2
393,0,0.21,3,0.821561,0.14643,6573,74.2
394,0,0.2,3,0.82115,0.124326,6595,74.5
395,0,0.2,3,0.82074,0.071299,6599,74.6
396,0,0.2,3,0.820329,0.14803,6624,74.9
397,0,0.2,3,0.819919,0.159179,6627,74.9
398,1,0.21,3,0.819509,0.149326,6647,75.2
399,0,0.21,3,0.819099,0.124468,6680,75.6
400,0,0.2,3,0.81869,0.100828,6690,75.8
401,0,0.2,3,0.81828,0.120239,6739,76.4
402,0,0.2,3,0.817871,0.109005,6753,76.6
403,0,0.2,3,0.817462,0.134915,6764,76.7
404,0,0.2,3,0.817054,0.128282,6789,77.1
405,0,0.2,3,0.816645,0.109304,6824,77.6
406,0,0.2,3,0.816237,0.1229,6833,77.7
407,0,0.2,3,0.815829,0.157041,6841,77.8
408,0,0.2,3,0.815421,0.134283,6868,78.2
409,0,0.2,3,0.815013,0.110089,6877,78.3
410,1,0.21,3,0.814606,0.103679,6897,78.6
411,1,0.22,3,0.814198,0.114386,6923,79.0
412,0,0.22,3,0.813791,0.121089,6947,79.3
413,2,0.23,3,0.813384,0.11055,6995,79.9
414,0,0.23,3,0.812978,0.249464,7004,80.1
415,0,0.23,3,0.812571,0.224003,7036,80.5
416,0,0.23,3,0.812165,0.174225,7061,80.8
417,0,0.23,3,0.811759,0.096701,7070,80.9
418,0,0.23,3,0.811353,0.167702,7115,81.5
419,0,0.23,3,0.810947,0.132899,7118,81.6
420,0,0.23,3,0.810542,0.119427,7130,81.7
421,0,0.22,3,0.810136,0.125549,7147,82.0
422,0,0.2,3,0.809731,0.168037,7150,82.0
423,0,0.2,3,0.809326,0.164444,7164,82.2
424,0,0.2,3,0.808922,0.138996,7193,82.6
425,0,0.2,3,0.808517,0.10126,7201,82.7
426,1,0.21,3,0.808113,0.132921,7222,83.0
427,0,0.21,3,0.807709,0.132387,7249,83.3
428,0,0.21,3,0.807305,0.173049,7257,83.4
429,0,0.21,3,0.806902,0.144454,7267,83.6
430,0,0.21,3,0.806498,0.136837,7270,83.6
431,1,0.22,3,0.806095,0.123352,7290,83.8
432,0,0.22,3,0.805692,0.132477,7318,84.2
433,0,0.22,3,0.805289,0.14751,7329,84.4
434,0,0.22,3,0.804886,0.109698,7338,84.5
435,1,0.22,3,0.804484,0.133983,7352,84.7
436,0,0.22,3,0.804082,0.140393,7384,85.1
437,0,0.22,3,0.80368,0.129747,7389,85.2
438,0,0.22,3,0.803278,0.132863,7403,85.3
439,1,0.23,3,0.802876,0.128182,7438,85.8
440,1,0.24,3,0.802475,0.139758,7460,86.1
441,0,0.24,3,0.802073,0.165811,7466,86.2
442,0,0.23,3,0.801672,0.139812,7477,86.3
443,1,0.24,3,0.801272,0.107637,7482,86.4
444,1,0.25,3,0.800871,0.139151,7512,86.7
445,0,0.23,3,0.80047,0.139506,7529,87.0
446,0,0.23,3,0.80007,0.18731,7534,87.1
447,1,0.24,3,0.79967,0.147243,7559,87.4
448,0,0.24,3,0.79927,0.080067,7562,87.4
449,1,0.25,3,0.798871,0.120262,7579,87.6
450,2,0.27,3,0.798471,0.142888,7617,88.1
451,0,0.27,3,0.798072,0.204561,7623,88.2
452,0,0.27,3,0.797673,0.148202,7651,88.6
453,0,0.27,3,0.797274,0.117492,7701,89.3
454,0,0.27,3,0.796876,0.129993,7738,89.8
455,0,0.27,3,0.796477,0.097395,7746,89.9
456,0,0.27,3,0.796079,0.117074,7756,90.0
457,1,0.27,3,0.795681,0.139324,7770,90.2
458,0,0.27,3,0.795283,0.131968,7796,90.6
459,0,0.27,3,0.794885,0.108422,7808,90.7
460,0,0.27,3,0.794488,0.113988,7848,91.3
461,0,0.27,3,0.794091,0.128437,7864,91.5
462,0,0.27,3,0.793694,0.078174,7867,91.5
463,0,0.27,3,0.793297,0.125071,7893,91.9
464,1,0.28,3,0.7929,0.129525,7929,92.4
465,0,0.28,3,0.792504,0.125553,7936,92.5
466,1,0.29,3,0.792107,0.136177,7960,92.8
467,1,0.27,3,0.791711,0.137568,8002,93.4
468,1,0.28,3,0.791316,0.280491,8022,93.7
469,2,0.3,3,0.79092,0.208845,8054,94.1
470,0,0.3,3,0.790524,0.182524,8071,94.3
471,0,0.3,3,0.790129,0.169659,8106,94.8
472,0,0.3,3,0.789734,0.13548,8123,95.0
473,0,0.29,3,0.789339,0.128711,8131,95.1
474,0,0.29,3,0.788945,0.144283,8199,96.0
475,0,0.29,3,0.78855,0.108891,8211,96.1
476,1,0.3,3,0.788156,0.137038,8215,96.2
477,1,0.31,3,0.787762,0.145585,8229,96.4
478,0,0.3,3,0.787368,0.161373,8241,96.5
479,0,0.29,3,0.786974,0.142936,8291,97.2
480,1,0.3,3,0.786581,0.145212,8322,97.6
481,1,0.3,3,0.786187,0.146527,8348,97.9
482,0,0.3,3,0.785794,0.144461,8359,98.0
483,0,0.3,3,0.785401,0.151772,8376,98.3
484,0,0.3,3,0.785009,0.119893,8394,98.5
485,0,0.3,3,0.784616,0.168336,8401,98.6
486,1,0.31,3,0.784224,0.135336,8448,99.2
487,0,0.31,3,0.783832,0.147039,8451,99.3
488,1,0.32,3,0.78344,0.137356,8491,99.8
489,0,0.32,3,0.783048,0.181637,8498,99.9
490,1,0.33,3,0.782657,0.113788,8530,100.3
491,2,0.34,3,0.782265,0.140784,8586,101.0
492,0,0.32,3,0.781874,0.09548,8597,101.2
493,0,0.32,3,0.781483,0.134428,8618,101.5
494,0,0.32,3,0.781092,0.102741,8631,101.6
495,0,0.32,3,0.780702,0.142122,8698,102.5
496,0,0.32,3,0.780312,0.093418,8702,102.6
497,0,0.32,3,0.779921,0.116129,8721,102.8
498,0,0.31,3,0.779531,0.165959,8729,102.9
499,1,0.32,3,0.779142,0.121254,8747,103.2
500,0,0.32,3,0.778752,0.126792,8758,103.3
501,0,0.32,3,0.778363,0.123298,8811,104.0
502,0,0.32,3,0.777974,0.138754,8827,104.3
503,0,0.32,3,0.777585,0.125776,8850,104.6
504,1,0.33,3,0.777196,0.134257,8911,105.3
505,0,0.33,3,0.776807,0.135002,8924,105.5
506,0,0.33,3,0.776419,0.108117,8936,105.7
507,1,0.34,3,0.776031,0.128259,8947,105.8
508,0,0.34,3,0.775643,0.116783,8950,105.8
509,0,0.34,3,0.775255,0.106042,8953,105.9
510,0,0.33,3,0.774867,0.166716,8963,106.0
